"RV56: DEATHS by Year, Cause of death by ICD-10, Sex and Age group",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Age groups total,0,1,2,3,4,0-4,1-4,5-9,10-14,0-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,15-49,50-54,55-59,60-64,15-64,65 and older,65-69,70-74,75-79,80-84,85 and older,85-89,90-94,95-99,100 and older,Age unknown
1989,All causes,Males and females,18536,360,46,20,24,11,461,101,69,50,580,131,147,199,252,321,393,589,2032,899,1296,1719,5946,11999,1680,1805,2804,2761,2949,..,..,..,..,11
,,Males,8696,220,27,12,17,6,282,62,44,34,360,95,116,133,194,248,278,421,1485,628,851,1069,4033,4294,857,828,1074,872,663,..,..,..,..,9
,,Females,9840,140,19,8,7,5,179,39,25,16,220,36,31,66,58,73,115,168,547,271,445,650,1913,7705,823,977,1730,1889,2286,..,..,..,..,2
,Infectious and parasitic diseases (A00-B99),Males and females,128,14,6,0,0,0,20,6,0,1,21,2,3,2,2,6,6,10,31,11,11,19,72,35,12,8,5,9,1,..,..,..,..,0
,,Males,95,12,5,0,0,0,17,5,0,0,17,1,1,1,2,5,6,5,21,10,9,14,54,24,8,7,3,6,0,..,..,..,..,0
,,Females,33,2,1,0,0,0,3,1,0,1,4,1,2,1,0,1,0,5,10,1,2,5,18,11,4,1,2,3,1,..,..,..,..,0
,"..tuberculosis (A15-A19, B90)",Males and females,80,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,5,6,21,7,9,16,53,27,9,7,3,8,0,..,..,..,..,0
,,Males,65,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,5,4,16,7,8,12,43,22,7,7,2,6,0,..,..,..,..,0
,,Females,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,1,4,10,5,2,0,1,2,0,..,..,..,..,0
,..meningococcal infection (A39),Males and females,9,2,2,0,0,0,4,2,0,0,4,2,1,0,0,0,1,0,4,0,0,0,4,1,1,0,0,0,0,..,..,..,..,0
,,Males,6,2,2,0,0,0,4,2,0,0,4,1,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,..,..,..,..,0
